dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
0000_0840,Hales Corners Lutheran School,42.935089,-88.06885599,Private School,"12300 W Janesville Rd, Hales Corners, WI 53130",0,
2478_0800,Hayward Ctr for Individualized Learning,46.017839,-91.46876798,Public Charter School,"15574 State Hwy 77, Hayward, WI 54843",0,
0000_0848,Heritage Christian Schools,42.981007,-88.09143499,Private School,"3500 S Glen Park Rd, New Berlin, WI 53151",0,
0000_0855,High Point Christian School,43.076377,-89.51612702,Private School,"7702 Old Sauk Rd, Madison, WI 53717",0,
0000_0856,Hillel Academy,43.13347398,-87.90848202,Private School,"6401 N Santa Monica Blvd, Milwaukee, WI 53217",0,
0000_0960,Holy Cross Lutheran School,43.10911102,-89.287937,Private School,"734 Holy Cross Way, Madison, WI 53704",0,
0000_0920,Holy Cross School: GRACE,44.553381,-87.88951201,Private School,"3002 Bay Settlement Rd, Green Bay, WI 54311",0,
0000_6280,Holy Family School,44.19131798,-88.09578796,Private School,"1100 W Ryan St, Brillion, WI 54110",0,
0000_1055,Holy Family School: GRACE,44.515875,-88.06486603,Private School,"1204 S Fisk St, Green Bay, WI 54304",0,
0000_1060,Holy Ghost Elementary School,44.92303102,-91.39082902,Private School,"436 S Main St, Chippewa Falls, WI 54729",0,
0000_1220,Holy Rosary Catholic School,45.13526996,-90.34944918,Private School,"215 S Washington Ave, Medford, WI 54451",0,
0000_1250,Holy Rosary Catholic School,44.45755099,-87.50729999,Private School,"519 Kilbourn St, Kewaunee, WI 54216",0,
0000_0870,Holy Spirit Catholic School,44.24416702,-88.33080898,Private School,"W2796 County Road KK, Appleton, WI 54915",0,
0000_1355,Holy Trinity School,44.55269753,-87.61784016,Private School,"510 Church Ave, Casco, WI 54205",0,
0000_0447,Holyland Catholic School,43.87701401,-88.29148696,Private School,"N9290 County Road W, Malone, WI 53049",0,
0000_1711,Hope Christian School Via,42.76297601,-87.80282603,Private School,"3502 Douglas Ave, Racine, WI 53402",0,
0000_1390,Immaculate Conception Grade School,44.80817777,-91.47722376,Private School,"1703 Sherwin Ave, Eau Claire, WI 54701",0,
0000_1503,Immanuel Evangelical Lutheran School,44.28569101,-88.55422903,Private School,"W7265 School Rd, Greenville, WI 54942",0,
