dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
8002_8133,Rocketship Southside Community Prep,42.995558987835,-87.951775969915,Public Charter School,"3003 W Cleveland Ave, Milwaukee, WI 53215",1,
8002_8140,Rocketship Transformation Prep,43.117927020936,-87.996652008964,Public Charter School,"5501 N 68th St N, Milwaukee, WI 53218",1,
0000_2750,Saint Adalbert School,43.006298007912,-87.937153991283,Private School,"1913 W Becher St, Milwaukee, WI 53215",1,
0000_2800,Saint Agnes School,43.107502992781,-88.071551019359,Private School,"12801 W Fairmount Ave, Butler, WI 53007",1,
0000_3100,Saint Anthony School,43.011650020728,-87.923064012045,Private School,"1727 S 9th Street, Milwaukee, WI 53204",1,
0000_1745,Saint Augustine Preparatory Academy,42.997390014584,-87.917364988438,Private School,"2607 S 5th St, Milwaukee, WI 53207",1,
0000_3410,Saint Catherine School,43.067110014645,-87.978004034598,Private School,"2647 N 51st St, Milwaukee, WI 53210",1,
0000_3455,Saint Charles Borromeo Catholic School,42.94263699229,-87.954560019055,Private School,"3100 W Parnell Ave, Milwaukee, WI 53221",1,
0000_3935,Saint Gregory the Great Parish School,42.98749299859,-87.989582963283,Private School,"3132 S 63rd St, Milwaukee, WI 53219",1,
0000_4210,Saint Joan Antida High School,43.047781010646,-87.902979966208,Private School,"1341 N Cass St, Milwaukee, WI 53202",1,
0000_2850,Saint John Paul II School,42.983501997303,-87.933411974429,Private School,"3344 S 16th St, Milwaukee, WI 53215",1,
0000_4655,Saint John's Lutheran School,42.971820013119,-87.998996008187,Private School,"4001 S 68th St, Milwaukee, WI 53220",1,
0000_4950,Saint Josaphat Parish School,43.00259999605,-87.921611009129,Private School,"801 W Lincoln Ave, Milwaukee, WI 53215",1,
0000_8224,Saint Joseph Academy,42.989157979837,-87.93440397267,Private School,"1600 W Oklahoma Ave, Milwaukee, WI 53215",1,
0000_5640,Saint Lucas Lutheran School,42.997681998181,-87.901067970275,Private School,"648 E Dover St, Milwaukee, WI 53207",1,
0000_5710,Saint Marcus Lutheran School,43.05951500454,-87.910353023517,Private School,"2215 N Palmer St, Milwaukee, WI 53212",1,
0000_5720,Saint Margaret Mary School,43.088778994553,-88.026081038651,Private School,"3950 N 92nd St, Milwaukee, WI 53222",1,
0000_5830,Saint Martini Lutheran School,43.015419991228,-87.93261804056,Private School,"1520 S Cesar E Chavez Dr, Milwaukee, WI 53204",1,
